cc_num,provider,expires
4031433455074417,visa,02/25
4436104537406320,visa,08/24
4571305563689391,visa,02/21
4383006052891500,visa,10/25
4711479013106164,visa,03/23
4128376202280767,visa,03/22
4195387892678770,visa,03/21
4389517050591607,visa,11/21
4228670614021036,visa,09/26
4939514684457664,visa,01/21
4164818186734686,visa,02/26
4020974963409424,visa,12/22
4444452452882318,visa,09/24
4622844192249184,visa,04/23
4947322535691576,visa,05/23
4880789437548261,visa,10/24
4344208841566579,visa,04/22
4738618169591989,visa,07/20
4731745887097630,visa,06/26
4122938874369453,visa,06/24
4405653893368018,visa,11/22
4793961758475483,visa,06/20
4777435172106701,visa,06/22
4644210190420975,visa,06/26
4733118732214560,visa,08/22
4502345248180808,visa,01/25
4248950078814381,visa,04/24
4146765548840474,visa,09/21
4400434327248596,visa,03/22
4213741526478791,visa,02/23
4114890995971131,visa,06/26
4022430306531828,visa,10/22
4222899973663668,visa,01/25
4619006293669414,visa,06/22
4365244194724618,visa,05/24
4848370152149642,visa,03/25
4416000592444871,visa,12/25
4113297595719780,visa,03/21
4492478171623239,visa,08/21
4703867451877397,visa,02/26
4429373864017005,visa,05/24
4547035275768677,visa,10/26
4561504821604778,visa,11/26
4140644994214276,visa,11/26
4951908649834608,visa,04/22
4796472872495131,visa,07/23
4652697146709304,visa,06/20
4667491720975777,visa,04/20
4788560512137525,visa,01/24
4682166930160847,visa,01/22
4640138885383576,visa,03/22
4535082860602709,visa,12/20
4544387666292392,visa,12/24
4703551092321987,visa,08/24
4786356756585681,visa,05/22
4961257360736248,visa,08/21
4280999112064791,visa,02/26
4152302476498439,visa,06/25
4232016979551130,visa,08/24
4711197606065635,visa,12/26
4194290112543462,visa,02/27
4138682268863182,visa,10/25
4045351766969915,visa,12/24
4173822209385509,visa,05/24
4567783998124497,visa,05/24
4008765399921529,visa,04/26
4384074925648019,visa,06/22
4199439111597863,visa,02/26
4232153519700594,visa,01/21
4048097356528549,visa,03/26
4761221311514593,visa,01/25
4514476039694990,visa,06/24
4171734728221176,visa,03/21
4695939945459155,visa,03/21
4489506764849947,visa,10/23
4225112238538825,visa,04/25
4827474975185778,visa,03/22
4286709141031156,visa,11/26
4356218305094633,visa,11/20
4140589938865107,visa,08/26
4766004007367160,visa,02/25
4056662939077600,visa,02/25
4177854049661274,visa,04/25
4394634258990185,visa,08/21
4081148386269410,visa,10/22
4885580497409691,visa,01/25
4543519102818965,visa,06/24
4428802436550680,visa,10/26
4121540513700261,visa,04/23
4441522193957794,visa,05/23
4230098873944647,visa,10/21
4885759614581398,visa,03/27
4947669432339562,visa,02/22
4989380052600833,visa,11/23
4566220935660045,visa,02/25
4423187015248707,visa,05/25
4010344679206799,visa,01/26
4230500754844739,visa,07/26
4596299294429899,visa,05/25
4015305394176117,visa,11/23
4631490748115294,visa,02/27
4044527685265722,visa,02/23
4852633295072564,visa,09/22
4419436211499333,visa,08/23
4535134072787743,visa,08/20
4033973905932449,visa,06/20
4972529225025901,visa,06/20
4467512729899486,visa,02/25
4123607687153854,visa,08/21
4919775992090117,visa,08/22
4248959105381009,visa,06/25
4147916401265924,visa,11/21
4355814735116730,visa,05/21
4494448264695293,visa,11/24
4379440587450977,visa,04/22
4828378944225764,visa,11/24
4829969675390923,visa,09/20
4101798396909094,visa,07/24
4834056296829456,visa,05/26
4495130541675129,visa,10/26
4226063306212844,visa,02/23
4913621334136513,visa,06/24
4758826242153298,visa,07/26
4202785378476562,visa,10/22
4418563900622718,visa,12/26
4355478682188892,visa,08/23
4058780319270948,visa,07/21
4890118524078677,visa,09/21
4594416109467565,visa,07/23
4562384988999090,visa,02/25
4368014534478184,visa,11/24
4809234893629261,visa,05/22
4652163334991550,visa,12/22
4250798115116459,visa,02/21
4899227926421137,visa,03/27
4944339107022769,visa,08/20
4096514308125076,visa,04/25
4237424612679158,visa,06/25
4374221497181612,visa,09/22
4750717164713979,visa,10/24
4941654288054479,visa,08/22
4337980319609003,visa,04/21
4139164908687288,visa,07/23
4386445939253483,visa,11/26
4272758867796399,visa,10/23
4289026865286495,visa,11/20
4904559699707273,visa,07/21
4866135207236901,visa,06/23
4570827848042527,visa,07/20
4766734353901176,visa,01/26
4466827364266036,visa,04/27
4282977625892211,visa,01/21
4044426585033514,visa,02/24
4656838322560840,visa,04/23
4569622861297873,visa,06/24
4654091120179486,visa,04/20
4619241467043803,visa,04/21
4905108449114544,visa,10/23
4096374618032847,visa,10/23
4123956456498655,visa,08/23
4552905834996245,visa,04/27
4925849261287902,visa,03/22
4574116219417534,visa,08/26
4896506372239447,visa,01/27
4233054284373352,visa,09/26
4126407649926076,visa,09/20
4619684091701561,visa,06/20
4731217953245139,visa,03/23
4533645737806554,visa,04/24
4629892857024627,visa,08/20
4540510270381368,visa,09/20
4157427767096975,visa,04/25
4058071607559774,visa,09/20
4135223870806963,visa,11/22
4423235512379614,visa,07/24
4954083592890325,visa,11/23
4946118846840717,visa,10/24
4605786766273507,visa,04/24
4116370669391070,visa,08/22
4081637544207288,visa,09/24
4688135334796674,visa,07/24
4644075387721653,visa,07/26
4583154760726754,visa,02/23
4901960507822713,visa,05/24
4954631322355082,visa,12/24
4277698309551298,visa,09/24
4259997755082267,visa,12/23
4795356770136874,visa,08/26
4849092754344749,visa,03/27
4995971843191082,visa,01/22
4214441843818907,visa,11/24
4901267532977615,visa,04/23
4793168880971518,visa,08/23
4296528271399854,visa,03/21
4447375080881401,visa,10/23
4889361025573548,visa,09/23
4691710596902981,visa,04/25
4399618341107324,visa,07/24
4470013368087355,visa,03/22
4253394630146903,visa,08/20
4587922530663739,visa,11/25
4386636968609104,visa,03/23
4074793697306390,visa,12/25
4233410947262251,visa,01/27
4823025270860582,visa,02/23
4860713016033465,visa,09/23
4997742185806191,visa,10/20
4552395809643180,visa,11/23
4113923197435414,visa,09/22
4224697227900581,visa,09/24
4451432115251770,visa,09/26
4135635727539259,visa,10/26
4784463242223794,visa,05/21
4749034166266434,visa,07/26
4614107430452246,visa,01/26
4533742663713712,visa,02/23
4172023402224469,visa,03/21
4446378402097327,visa,06/21
4846338350419432,visa,02/27
4961839828131987,visa,01/26
4443619528795846,visa,07/25
4437472339448322,visa,11/25
4836181917638926,visa,09/21
4387920518682376,visa,01/26
4341771746181128,visa,03/27
4819550644575521,visa,02/23
4673449858991919,visa,09/25
4507380788162648,visa,08/21
4180346502216345,visa,08/24
4210149419023893,visa,05/20
4774849075253886,visa,03/21
4926857799625427,visa,11/22
4605054160959639,visa,08/20
4851887929807925,visa,10/21
4963971008171620,visa,11/24
4093900649689099,visa,03/26
4564774098387129,visa,01/21
4835379432366996,visa,11/24
4996739676883177,visa,10/20
4599232843132760,visa,10/20
4123328506319614,visa,10/23
4374183434031328,visa,05/23
4128956124414279,visa,10/20
4265967142914326,visa,04/23
4074700029256250,visa,07/21
4217101358865993,visa,02/24
4010689213154875,visa,05/22
4046344067200295,visa,07/23
4161806974098730,visa,11/22
4852092277115000,visa,05/23
4819499464621165,visa,03/26
4542943071371049,visa,07/25
4670928688013740,visa,01/27
4444087429649109,visa,05/26
4814432017595813,visa,04/21
4577905276653818,visa,05/20
4595226493110641,visa,08/25
4324121146186312,visa,12/26
4243544013826330,visa,07/23
